"Plot Title: 10637793 Visca 5"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10637793, SEN S/N: 10637793)","Coupler Detached (LGR S/N: 10637793)","Coupler Attached (LGR S/N: 10637793)","Host Connected (LGR S/N: 10637793)","Stopped (LGR S/N: 10637793)","End Of File (LGR S/N: 10637793)"
1,05/11/16 02:15:00 PM,30.495,Logged,,,,
2,05/11/16 02:45:00 PM,31.586,,,,,
3,05/11/16 03:15:00 PM,33.131,,,,,
4,05/11/16 03:45:00 PM,30.293,,,,,
5,05/11/16 04:15:00 PM,29.690,,,,,
6,05/11/16 04:45:00 PM,30.117,,,,,
7,05/11/16 05:15:00 PM,29.540,,,,,
8,05/11/16 05:45:00 PM,30.016,,,,,
9,05/11/16 06:15:00 PM,30.117,,,,,
10,05/11/16 06:45:00 PM,30.167,,,,,
11,05/11/16 07:15:00 PM,30.192,,,,,
12,05/11/16 07:45:00 PM,30.217,,,,,
13,05/11/16 08:15:00 PM,30.192,,,,,
14,05/11/16 08:45:00 PM,30.243,,,,,
15,05/11/16 09:15:00 PM,30.217,,,,,
16,05/11/16 09:45:00 PM,30.217,,,,,
17,05/11/16 10:15:00 PM,30.167,,,,,
18,05/11/16 10:45:00 PM,30.142,,,,,
19,05/11/16 11:15:00 PM,30.117,,,,,
20,05/11/16 11:45:00 PM,30.142,,,,,
21,05/12/16 12:15:00 AM,30.066,,,,,
22,05/12/16 12:45:00 AM,29.865,,,,,
23,05/12/16 01:15:00 AM,29.890,,,,,
24,05/12/16 01:45:00 AM,29.640,,,,,
25,05/12/16 02:15:00 AM,29.865,,,,,
26,05/12/16 02:45:00 AM,29.840,,,,,
27,05/12/16 03:15:00 AM,29.740,,,,,
28,05/12/16 03:45:00 AM,29.439,,,,,
29,05/12/16 04:15:00 AM,29.389,,,,,
30,05/12/16 04:45:00 AM,29.690,,,,,
31,05/12/16 05:15:00 AM,29.765,,,,,
32,05/12/16 05:45:00 AM,29.190,,,,,
33,05/12/16 06:15:00 AM,29.265,,,,,
34,05/12/16 06:45:00 AM,29.414,,,,,
35,05/12/16 07:15:00 AM,29.265,,,,,
36,05/12/16 07:45:00 AM,29.414,,,,,
37,05/12/16 08:15:00 AM,29.715,,,,,
38,05/12/16 08:45:00 AM,29.765,,,,,
39,05/12/16 09:15:00 AM,29.790,,,,,
40,05/12/16 09:45:00 AM,29.790,,,,,
41,05/12/16 10:15:00 AM,29.765,,,,,
42,05/12/16 10:45:00 AM,29.290,,,,,
43,05/12/16 11:15:00 AM,29.215,,,,,
44,05/12/16 11:45:00 AM,29.490,,,,,
45,05/12/16 12:15:00 PM,29.040,,,,,
46,05/12/16 12:45:00 PM,28.866,,,,,
47,05/12/16 01:15:00 PM,29.640,,,,,
