"Plot Title: 10718540"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10718540, SEN S/N: 10718540)","Coupler Detached (LGR S/N: 10718540)","Coupler Attached (LGR S/N: 10718540)","Host Connected (LGR S/N: 10718540)","Stopped (LGR S/N: 10718540)","End Of File (LGR S/N: 10718540)"
1,05/06/17 04:15:00 PM,85.577,Logged,,,,
2,05/06/17 04:45:00 PM,85.397,,,,,
3,05/06/17 05:15:00 PM,84.990,,,,,
4,05/06/17 05:45:00 PM,85.035,,,,,
5,05/06/17 06:15:00 PM,84.587,,,,,
6,05/06/17 06:45:00 PM,84.857,,,,,
7,05/06/17 07:15:00 PM,85.487,,,,,
8,05/06/17 07:45:00 PM,85.577,,,,,
9,05/06/17 08:15:00 PM,85.577,,,,,
10,05/06/17 08:45:00 PM,85.307,,,,,
11,05/06/17 09:15:00 PM,85.262,,,,,
12,05/06/17 09:45:00 PM,85.352,,,,,
13,05/06/17 10:15:00 PM,85.307,,,,,
14,05/06/17 10:45:00 PM,85.262,,,,,
15,05/06/17 11:15:00 PM,85.217,,,,,
16,05/06/17 11:45:00 PM,85.217,,,,,
17,05/07/17 12:15:00 AM,85.262,,,,,
18,05/07/17 12:45:00 AM,85.262,,,,,
19,05/07/17 01:15:00 AM,85.172,,,,,
20,05/07/17 01:45:00 AM,84.317,,,,,
21,05/07/17 02:15:00 AM,84.945,,,,,
22,05/07/17 02:45:00 AM,85.172,,,,,
23,05/07/17 03:15:00 AM,85.127,,,,,
24,05/07/17 03:45:00 AM,85.262,,,,,
25,05/07/17 04:15:00 AM,85.307,,,,,
26,05/07/17 04:45:00 AM,85.397,,,,,
27,05/07/17 05:15:00 AM,85.307,,,,,
28,05/07/17 05:45:00 AM,85.217,,,,,
29,05/07/17 06:15:00 AM,85.217,,,,,
30,05/07/17 06:45:00 AM,85.217,,,,,
31,05/07/17 07:15:00 AM,85.217,,,,,
32,05/07/17 07:45:00 AM,84.990,,,,,
33,05/07/17 08:15:00 AM,84.990,,,,,
34,05/07/17 08:45:00 AM,85.035,,,,,
