fish_table_id,anem_table_id,"fish_spp","size","fin_id","sample_id","color",cap_id,"recap","tag_id","notes","collector","correction","corr_date","corr_editor","corr_message"
270,239,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2167,1910,"APCL","3.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
6389,6649,"APCL","3",NULL,NULL,"Y",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1085,950,"APPE","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4334,4063,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
3,2,"APCL","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
778,747,"APCL","7","92","APCL13_092","O",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6225,6581,"APCL","4.5","86","APCL15_086","W",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3122,2594,"APCL","2.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
8393,8093,"APCL","5",NULL,NULL,"YR",NULL,"Y","985153000404810",NULL,"MRS",NULL,NULL,NULL,NULL
4,2,"APCL","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2069,1864,"APPE","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1044,913,"APCL","4.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8354,8030,"APCL","4",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1336,1308,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
10690,8989,"APCL","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
1592,1473,"APCL","7.4","560","APCL13_560","O",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4327,4036,"APCL","10",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3189,2641,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
7,3,"APOC","6",NULL,NULL,NULL,NULL,NULL,NULL,"Unsure of anemspp, changed from STME? To STME ","MLP",NULL,NULL,NULL,NULL
10247,8167,"APCL","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
3605,5918,"APCL","7",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
10325,8278,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC/MLP",NULL,NULL,NULL,NULL
4138,3228,"APCL","5.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4650,5011,"APPE","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
5162,2765,"APFR","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
5674,5014,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
12,5,"APOC","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6147,6539,"APCL","8.3","370215","APCL15_370215","YP",NULL,NULL,"985153000370215",NULL,"MRS",NULL,NULL,NULL,NULL
3112,2588,"APFR","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
8353,8030,"APCL","7","786","APCL16_786","YR",NULL,"N","986112100172058",NULL,"MRS",NULL,NULL,NULL,NULL
6698,6259,"APPE","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
14,8,"APCL","12",NULL,NULL,NULL,NULL,NULL,NULL,"Set temperature logger Visca1 (#10127426) under edge of large rock 1m offshore of here","MLP",NULL,NULL,NULL,NULL
7171,7001,"APCL","2",NULL,NULL,NULL,NULL,NULL,NULL,"Fish appear to swim back and forth between 2228 and 2227.  Can simultaneously see the 5.7cm fish and a 2cm fish on 2227 and 2 med-large fish in a hole near 2228","MRS",NULL,NULL,NULL,NULL
15,8,"APCL","10",NULL,NULL,NULL,NULL,NULL,NULL,"Set temperature logger Visca1 (#10127426) under edge of large rock 1m offshore of here","MLP",NULL,NULL,NULL,NULL
7683,7385,"APCL","3.5","337","APCL16_337","YR",NULL,NULL,NULL,NULL,"MRS","Y","2017-08-14","MRS","This sample_id was missing from the original excel spreadsheet but was written on the datasheet at 12:02 on dive 34 on 5/29/16.  Added to database in 2017."
1039,911,"APCL","2.6","249","APCL13_249","YR",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8314,7999,"APCL","11.8","768","APCL16_768","O",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
263,228,"APCL","7.1","118","APCL12_118","O",NULL,NULL,NULL,"Orange-edged tail","MLP",NULL,NULL,NULL,NULL
2111,1889,"PRBI","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1057,923,"APCL","2.9","263","APCL13_263","YR",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8458,7677,"APPE","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1103,983,"APCL","8.7","283","APCL13_283","O",12,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
279,262,"APPE","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2239,1952,"APCL","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
6533,6715,"APCL","10","354733","APCL15_354733","YP",66,NULL,"985153000354733",NULL,"MRS",NULL,NULL,NULL,NULL
1121,1018,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
311,281,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2495,2118,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1249,1229,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
9994,8571,"APFR","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
1295,1256,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
10362,8324,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
327,289,"APCL","9.3","144","APCL12_144","Y",NULL,NULL,NULL,"#144 had a yellow tail, #145 had orange edges","MLP",NULL,NULL,NULL,NULL
2623,2184,"APCL","9.3","299","APCL14_299","YR",106,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1313,1268,"APCL","6.4","395","APCL13_395","YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
10506,8599,"APCL","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
1359,1327,"APCL","6.3","421","APCL13_421","YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
10874,8769,"APCL"," 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
343,297,"APCL","9.4","156","APCL12_156","Y",NULL,NULL,NULL,"#155, #156, #157, #158, #160 had yellow tails, #159 had orange edges","MLP",NULL,NULL,NULL,NULL
2751,2269,"APCL","6.2","383","APCL14_383","Y",NULL,NULL,NULL,"VERY BLACK AND WHITE, NO ORANGE AT ALL, YELLOW TAIL","MRS",NULL,NULL,NULL,NULL
1377,1346,"APCL","7.1","427","APCL13_427","O",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
11018,8476,"APCL"," 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
1423,1374,"APCL","4.7","452","APCL13_452","Y",NULL,NULL,NULL,"on sand/mud a few feet from the reef","MLP",NULL,NULL,NULL,NULL
359,308,"APCL","10.1","170","APCL12_170","Y",NULL,NULL,NULL,"#170 had a yellow tail, fixed type-o, APPE was originally typed in Spp2Size1 instead of Spp2, moved to correct column","MLP",NULL,NULL,NULL,NULL
2879,2425,"APCL","5.7","432","APCL14_432","W",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1441,1384,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1487,1416,"APCL","2.3","490","APCL13_490","YR",NULL,NULL,NULL,"melanistic fish on STME","MLP",NULL,NULL,NULL,NULL
375,323,"APPE","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3007,2518,"APCL","4.5","488","APCL14_488","YR",NULL,NULL,NULL,">12X 3.5 CM OR SMALLER","MRS",NULL,NULL,NULL,NULL
1505,1429,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1551,1450,"APFR","4",NULL,NULL,NULL,NULL,NULL,NULL,"wedged between two rocks","MLP",NULL,NULL,NULL,NULL
4163,2752,"APSA","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3107,2585,"APCL","3.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
8333,8010,"APCL","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1569,1461,"APCL","3.9","543","APCL13_543","YR",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4235,2656,"APCL","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
1615,1486,"APCL","6.7","579","APCL13_579","YP",NULL,NULL,NULL,"#580 may be turning orange (tail)","MLP",NULL,NULL,NULL,NULL
4419,3227,"APPE","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3235,2018,"APPE","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
8845,9563,"APCL","3.4",NULL,NULL,"W",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1633,1495,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4491,2783,"APCL","8",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
28,14,"APFR","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1799,1732,"APCL","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
5155,6193,"APPE","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
455,381,"APCL","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
10467,8497,"APCL","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
3647,5009,"APCL","10",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
10493,8554,"APCL","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
29,15,"APCL","8.2","13","APCL12_013",NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1863,1762,"APCL","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
5411,3023,"APCL","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
471,388,"APFR","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
10979,8715,"APCL"," 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
3775,4185,"APCL","6",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
11005,9018,"APCL","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
30,15,"APCL","8.8","9","APCL12_009",NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1927,1792,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
5667,4969,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
487,399,"APCL","3.5","236","APCL12_236","W",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3903,3040,"APCL","8",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
31,15,"APCL","3.1","19","APCL12_019",NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1991,1824,"APCL","3.5","66","APCL14_066","YR",71,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
503,414,"APCL","1.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4031,4134,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,"ONLY ONE ANEM TAG","PHF",NULL,NULL,NULL,NULL
4222,4942,"APCL","3",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
2126,1894,"APFR","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4278,4726,"APFR","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4350,3743,"APPE","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4478,2889,"APCL","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4606,4844,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4734,2876,"APPE","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1187,1193,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
9498,8783,"APCL","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
2382,2036,"APCL","5",NULL,NULL,NULL,NULL,NULL,NULL,"LARGER FISH SWAM INTO HOLE","MRS",NULL,NULL,NULL,NULL
4790,4707,"APCL","10",NULL,NULL,"O",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4862,4604,"APFR","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
1219,1212,"APCL","7.8","338","APCL13_338","O",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
9754,8188,"APCL","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2510,2130,"APCL","5.5","245","APCL14_245","Y",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
5046,3358,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
2574,2159,"APCL","4.3","271","APCL14_271","WR",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
5174,2759,"APPE","7",NULL,NULL,NULL,NULL,NULL,NULL,"Anem tag falling off, not replaced.","MLP",NULL,NULL,NULL,NULL
2638,2191,"APCL","3.6","304","APCL14_304","Y",NULL,NULL,NULL,"no extract because unsure of where fin clip placed in extraction plate","MRS",NULL,NULL,NULL,NULL
5302,5546,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
2702,2233,"APCL","3.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
5430,4765,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
