fish_table_id,anem_table_id,"fish_spp","size","fin_id","sample_id","color",cap_id,"recap","tag_id","notes","collector","correction","corr_date","corr_editor","corr_message"
2766,2338,"APCL","5.1","393","APCL14_393","WR",NULL,NULL,NULL,"oldAnemID is hard to read on datasheet (1X6). Based on location, must be 176.","MRS",NULL,NULL,NULL,NULL
5558,4698,"APFR","10",NULL,NULL,NULL,NULL,NULL,NULL,"SHAPED LIKE A HECR, NO BULBOUS TENTACLES OR STRIPES ON TENTACLES WHERE BULBS COULD BE, VERY DARK COLOR LIKE AN ENQD WOULD BE WHEN AN APFR LIVES ON IT","MRS",NULL,NULL,NULL,NULL
2830,2386,"APCL","3.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
5686,6221,"APPE","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
2894,2432,"APPO","3",NULL,NULL,NULL,NULL,NULL,NULL,"AND ALSO A CRAB","MRS",NULL,NULL,NULL,NULL
725,715,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
5801,6306,"APCL","9.1","375598","APCL15_375598","Y",46,NULL,"985153000375598",NULL,"MRS",NULL,NULL,NULL,NULL
2958,2497,"APCL","3.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
741,724,"APCL","4","75","APCL13_075","YR",NULL,NULL,NULL,"7.8cm fish had slightly orange tail edges: transitional?","MLP",NULL,NULL,NULL,NULL
5929,6374,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3022,2522,"APPE","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
757,735,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6057,6473,"APCL","3.5","49","APCL15_049","W",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3038,2543,"APCL","9.1","496","APCL14_496","O",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
773,745,"APCL","9.8","87","APCL13_087","O",33,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6185,6569,"APCL","7.2","354092","APCL15_354092","YP",NULL,NULL,"985153000354092",NULL,"MRS",NULL,NULL,NULL,NULL
3102,2584,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
8313,7999,"APCL","12.7","767","APCL16_767","YP",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
789,750,"APPO","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6313,6617,"APCL","9.2","355603","APCL15_355603","O",NULL,NULL,"985153000355603",NULL,"MRS",NULL,NULL,NULL,NULL
3166,2627,"APPE","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
6454,6680,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3230,2003,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
6582,6736,"APCL","3",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3294,2543,"APPE","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1667,1526,"APCL","3.4","611","APCL13_611","WP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4627,5227,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
3342,5674,"APCL","1",NULL,NULL,"YR",NULL,NULL,NULL,"THIS IS THE ONE WHERE SHEM SAW EGGS?","G_S",NULL,NULL,NULL,NULL
6710,6340,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1699,1580,"APCL","10.8","635","APCL13_635","YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4755,2815,"APCL","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
3406,6044,"APCL","8",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
9529,8686,"APCL","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
853,787,"APFR","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6825,6807,"APCL","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1731,1613,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4883,4575,"APPE","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3470,4478,"APCL","4",NULL,NULL,"YR",NULL,NULL,NULL,"Data entry changed from oldAnemID 59 to 592 based on original datasheet and proximity to 592","G_S",NULL,NULL,NULL,NULL
9785,8238,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
869,796,"APCL","12.1","136","APCL13_136","YP",NULL,NULL,NULL,"136 has very pointed tail, has streamers.","MLP",NULL,NULL,NULL,NULL
6953,6883,"APCL","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1763,821,"APPE","4",NULL,NULL,NULL,NULL,NULL,NULL,"Unsure if I tagged the anemone... data sheet did not list a number, but 00085 was previous anem and 00087 was next one","MLP",NULL,NULL,NULL,NULL
5011,3947,"APCL","7",NULL,NULL,"YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3534,3148,"APCL","6",NULL,NULL,"YR",NULL,NULL,NULL,"6 CM APCL IS A BITER! VERY AGGRESSIVE!","MRS",NULL,NULL,NULL,NULL
10041,8695,"APCL","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
885,805,"APPE","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7081,6951,"APCL","10.6","94","APCL16_094","YP",NULL,"N","985153000399653",NULL,"MRS",NULL,NULL,NULL,NULL
3598,6002,"APCL","2",NULL,NULL,"W",NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
10297,8245,"APCL"," 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
901,818,"APCL","3.2","150","APCL13_150","YR",39,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7209,7027,"APPE","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3662,4928,"APCL","2",NULL,NULL,"W",NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
10553,8706,"APCL"," 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
917,825,"APCL","7.8","160","APCL13_160","YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7337,7118,"APOC","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3726,4628,"APCL","10",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
10809,8458,"APPE"," 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"KAC",NULL,NULL,NULL,NULL
933,837,"APCL","4.1","172","APCL13_172","W",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7465,7189,"APCL","3.1",NULL,NULL,"W",NULL,"N",NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3790,4020,"APCL","5",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
949,850,"APCL","3.1","185","APCL13_185","W",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7593,7319,"APCL","10.5","286","APCL16_286","YP",NULL,"Y","985153000371766","These fish swim back and forth between anem 2306 and 2307","MRS",NULL,NULL,NULL,NULL
3854,3331,"APCL","7",NULL,NULL,"YR",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
965,860,"APCL","4","199","APCL13_199","W",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7721,7402,"APCL","8.5","366","APCL16_366","O",NULL,"N","985153000371280",NULL,"MRS",NULL,NULL,NULL,NULL
3918,2956,"APCL","4",NULL,NULL,"Y",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
981,868,"APCL","8.3","209","APCL13_209","O",NULL,NULL,NULL,"209 may have been sampled already","MLP",NULL,NULL,NULL,NULL
7849,7668,"APPE","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3982,2741,"APCL","8",NULL,NULL,"Y",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
997,878,"APCL","6.9","222","APCL13_222","YP",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7977,7747,"APCL","8.8","534","APCL16_534","O",NULL,"N","985153000403220",NULL,"MRS",NULL,NULL,NULL,NULL
4046,3065,"APCL","11",NULL,NULL,NULL,NULL,NULL,NULL,"A colony of ENQD and many APCL","MLP",NULL,NULL,NULL,NULL
1013,895,"APCL","5.4","234","APCL13_234","W",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8105,7837,"APCL","7.7","632","APCL16_632","YR",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4124,3359,"APPE","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
1034,908,"APCL","2.6","247","APCL13_247","YR",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8274,7984,"APOC","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4188,4104,"APCL","8",NULL,NULL,"WP",NULL,NULL,NULL,"CAN SEE FIN WAS CLIPPED","MRS",NULL,NULL,NULL,NULL
1050,917,"APPE","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8402,8098,"APCL","8",NULL,NULL,"O",NULL,"Y","985153000401168",NULL,"MRS",NULL,NULL,NULL,NULL
4252,4829,"APCL","9",NULL,NULL,"O",NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1066,930,"APCL","6.8","318","APCL13_318","YR",NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
